GridID,X_Lon,Y_Lat,M8H_O3
737,112.25,21.75,81.0
738,112.35,21.75,80.0
739,112.45,21.75,82.0
740,112.55,21.75,78.0
741,112.65,21.75,82.0
745,99.95,21.85,93.0
746,100.05,21.85,93.0
747,100.15,21.85,89.0
748,100.25,21.85,88.0
749,100.35,21.85,83.0
750,100.45,21.85,79.0
751,100.55,21.85,78.0
752,100.65,21.85,72.0
753,100.75,21.85,72.0
754,100.85,21.85,69.0
755,100.95,21.85,67.0
756,101.05,21.85,62.0
757,101.15,21.85,61.0
758,101.25,21.85,60.0
759,101.35,21.85,61.0
760,101.45,21.85,61.0
761,101.55,21.85,61.0
762,101.65,21.85,58.0
770,107.05,21.85,84.0
771,107.15,21.85,84.0
772,107.25,21.85,83.0
773,107.35,21.85,83.0
774,107.45,21.85,82.0
775,107.55,21.85,82.0
776,107.65,21.85,84.0
777,107.75,21.85,85.0
778,107.85,21.85,86.0
779,107.95,21.85,87.0
780,108.05,21.85,87.0
781,108.15,21.85,87.0
782,108.25,21.85,90.0
783,108.35,21.85,92.0
784,108.45,21.85,93.0
785,108.55,21.85,92.0
786,108.65,21.85,92.0
787,108.75,21.85,90.0
788,108.85,21.85,91.0
789,108.95,21.85,90.0
790,109.05,21.85,89.0
791,109.15,21.85,88.0
792,109.25,21.85,88.0
793,109.35,21.85,88.0
794,109.45,21.85,88.0
795,109.55,21.85,87.0
796,109.65,21.85,87.0
797,109.75,21.85,86.0
798,109.85,21.85,85.0
799,109.95,21.85,86.0
800,110.05,21.85,86.0
801,110.15,21.85,86.0
802,110.25,21.85,86.0
803,110.35,21.85,86.0
804,110.45,21.85,86.0
805,110.55,21.85,85.0
806,110.65,21.85,85.0
807,110.75,21.85,85.0
808,110.85,21.85,84.0
809,110.95,21.85,84.0
810,111.05,21.85,83.0
811,111.15,21.85,82.0
812,111.25,21.85,82.0
813,111.35,21.85,82.0
814,111.45,21.85,82.0
815,111.55,21.85,82.0
816,111.65,21.85,85.0
817,111.75,21.85,83.0
818,111.85,21.85,86.0
819,111.95,21.85,82.0
820,112.05,21.85,79.0
821,112.15,21.85,78.0
822,112.25,21.85,78.0
823,112.35,21.85,76.0
824,112.45,21.85,77.0
825,112.55,21.85,77.0
826,112.65,21.85,77.0
827,112.75,21.85,79.0
828,112.85,21.85,78.0
829,112.95,21.85,74.0
830,113.15,21.85,73.0
840,100.05,21.95,93.0
841,100.15,21.95,92.0
842,100.25,21.95,89.0
843,100.35,21.95,84.0
844,100.45,21.95,77.0
845,100.55,21.95,78.0
846,100.65,21.95,76.0
847,100.75,21.95,70.0
848,100.85,21.95,69.0
849,100.95,21.95,66.0
850,101.05,21.95,61.0
851,101.15,21.95,62.0
852,101.25,21.95,61.0
853,101.35,21.95,60.0
854,101.45,21.95,63.0
855,101.55,21.95,61.0
856,101.65,21.95,59.0
864,106.95,21.95,84.0
865,107.05,21.95,84.0
866,107.15,21.95,84.0
867,107.25,21.95,84.0
868,107.35,21.95,82.0
869,107.45,21.95,82.0
870,107.55,21.95,82.0
871,107.65,21.95,82.0
872,107.75,21.95,84.0
873,107.85,21.95,85.0
874,107.95,21.95,86.0
875,108.05,21.95,86.0
876,108.15,21.95,86.0
877,108.25,21.95,89.0
878,108.35,21.95,91.0
879,108.45,21.95,92.0
880,108.55,21.95,92.0
881,108.65,21.95,91.0
882,108.75,21.95,90.0
883,108.85,21.95,90.0
884,108.95,21.95,90.0
885,109.05,21.95,89.0
886,109.15,21.95,87.0
887,109.25,21.95,88.0
888,109.35,21.95,89.0
889,109.45,21.95,89.0
890,109.55,21.95,88.0
891,109.65,21.95,87.0
892,109.75,21.95,86.0
893,109.85,21.95,85.0
894,109.95,21.95,86.0
895,110.05,21.95,87.0
896,110.15,21.95,87.0
897,110.25,21.95,86.0
898,110.35,21.95,86.0
899,110.45,21.95,85.0
900,110.55,21.95,84.0
901,110.65,21.95,85.0
902,110.75,21.95,83.0
903,110.85,21.95,83.0
904,110.95,21.95,83.0
905,111.05,21.95,82.0
906,111.15,21.95,81.0
907,111.25,21.95,81.0
908,111.35,21.95,82.0
909,111.45,21.95,82.0
910,111.55,21.95,82.0
911,111.65,21.95,84.0
912,111.75,21.95,84.0
913,111.85,21.95,85.0
914,111.95,21.95,84.0
915,112.05,21.95,80.0
916,112.15,21.95,76.0
917,112.25,21.95,76.0
918,112.35,21.95,74.0
919,112.45,21.95,75.0
920,112.55,21.95,75.0
921,112.65,21.95,73.0
922,112.75,21.95,79.0
923,112.85,21.95,78.0
924,112.95,21.95,72.0
925,113.05,21.95,72.0
926,113.15,21.95,70.0
927,113.25,21.95,72.0
938,99.85,22.05,92.0
940,100.05,22.05,92.0
941,100.15,22.05,91.0
942,100.25,22.05,87.0
943,100.35,22.05,85.0
944,100.45,22.05,81.0
945,100.55,22.05,78.0
946,100.65,22.05,78.0
947,100.75,22.05,68.0
948,100.85,22.05,66.0
949,100.95,22.05,71.0
950,101.05,22.05,62.0
951,101.15,22.05,62.0
952,101.25,22.05,61.0
953,101.35,22.05,61.0
954,101.45,22.05,61.0
955,101.55,22.05,61.0
961,106.75,22.05,84.0
962,106.85,22.05,84.0
963,106.95,22.05,84.0
964,107.05,22.05,83.0
965,107.15,22.05,84.0
966,107.25,22.05,82.0
967,107.35,22.05,81.0
